SEQ	CLASS	Qmm	P	T	E
1	1961_1990	NA	7.048188818	26.65737524	5.166289806
2	1961_1990	NA	4.692223603	26.25981128	5.474077225
3	1961_1990	NA	21.77957726	29.47879801	5.746303558
4	1961_1990	NA	52.86230756	29.03300318	5.551989079
5	1961_1990	NA	142.3865546	27.74737231	4.509092331
6	1961_1990	NA	275.4092701	26.42422642	3.962051868
7	1961_1990	NA	380.2569959	26.75737848	4.095198154
8	1961_1990	NA	171.6997499	26.58835163	4.191273689
9	1961_1990	NA	361.3430888	25.96156714	4.01298666
10	1961_1990	NA	395.2858498	25.82430451	3.884227991
11	1961_1990	NA	239.8056159	26.0756148	4.020458221
12	1961_1990	NA	70.59284889	26.36722437	4.649784565
13	1961_1990	NA	14.89151573	26.65737524	5.166289806
14	1961_1990	NA	3.544052093	26.25981128	5.474077225
15	1961_1990	NA	19.80076332	29.47879801	5.746303558
16	1961_1990	NA	112.5964444	29.03300318	5.551989079
17	1961_1990	NA	294.8227113	27.74737231	4.509092331
18	1961_1990	NA	387.3389514	26.42422642	3.962051868
19	1961_1990	NA	160.9386583	26.75737848	4.095198154
20	1961_1990	NA	268.5469822	26.58835163	4.191273689
21	1961_1990	NA	257.3645248	25.96156714	4.01298666
22	1961_1990	NA	388.4900968	25.82430451	3.884227991
23	1961_1990	NA	93.16745576	26.0756148	4.020458221
24	1961_1990	NA	42.4554432	26.36722437	4.649784565
25	1961_1990	NA	9.246241518	26.65737524	5.166289806
26	1961_1990	NA	40.48792689	26.25981128	5.474077225
27	1961_1990	NA	10.99604969	29.47879801	5.746303558
28	1961_1990	NA	90.85224864	29.03300318	5.551989079
29	1961_1990	NA	160.8372628	27.74737231	4.509092331
30	1961_1990	NA	307.9732355	26.42422642	3.962051868
31	1961_1990	NA	311.0568236	26.75737848	4.095198154
32	1961_1990	NA	194.7231181	26.58835163	4.191273689
33	1961_1990	NA	421.0682143	25.96156714	4.01298666
34	1961_1990	NA	276.7975314	25.82430451	3.884227991
35	1961_1990	NA	212.2006014	26.0756148	4.020458221
36	1961_1990	NA	28.82110242	26.36722437	4.649784565
37	1961_1990	NA	6.026716424	26.65737524	5.166289806
38	1961_1990	NA	6.02039168	26.25981128	5.474077225
39	1961_1990	NA	18.16871201	29.47879801	5.746303558
40	1961_1990	NA	84.73224034	29.03300318	5.551989079
41	1961_1990	NA	130.8271224	27.74737231	4.509092331
42	1961_1990	NA	461.2643045	26.42422642	3.962051868
43	1961_1990	NA	416.7806677	26.75737848	4.095198154
44	1961_1990	NA	456.5883186	26.58835163	4.191273689
45	1961_1990	NA	289.9866209	25.96156714	4.01298666
46	1961_1990	NA	396.4880221	25.82430451	3.884227991
47	1961_1990	NA	75.83885658	26.0756148	4.020458221
48	1961_1990	NA	28.93834297	26.36722437	4.649784565
49	1961_1990	NA	20.96620059	26.65737524	5.166289806
50	1961_1990	NA	10.04317261	26.25981128	5.474077225
51	1961_1990	NA	9.77507151	29.47879801	5.746303558
52	1961_1990	NA	5.094040075	29.03300318	5.551989079
53	1961_1990	NA	226.6068482	27.74737231	4.509092331
54	1961_1990	NA	275.8105245	26.42422642	3.962051868
55	1961_1990	NA	186.4754927	26.75737848	4.095198154
56	1961_1990	NA	220.4579223	26.58835163	4.191273689
57	1961_1990	NA	376.0743555	25.96156714	4.01298666
58	1961_1990	NA	232.8454225	25.82430451	3.884227991
59	1961_1990	NA	98.02447562	26.0756148	4.020458221
60	1961_1990	NA	26.18838831	26.36722437	4.649784565
61	1961_1990	NA	27.24018576	26.65737524	5.166289806
62	1961_1990	NA	19.76881861	26.25981128	5.474077225
63	1961_1990	NA	25.49169333	29.47879801	5.746303558
64	1961_1990	NA	72.1254282	29.03300318	5.551989079
65	1961_1990	NA	473.0619704	27.74737231	4.509092331
66	1961_1990	NA	364.4956611	26.42422642	3.962051868
67	1961_1990	NA	341.383396	26.75737848	4.095198154
68	1961_1990	NA	288.1793432	26.58835163	4.191273689
69	1961_1990	NA	300.8325495	25.96156714	4.01298666
70	1961_1990	NA	413.178834	25.82430451	3.884227991
71	1961_1990	NA	65.7764736	26.0756148	4.020458221
72	1961_1990	NA	72.13973741	26.36722437	4.649784565
73	1961_1990	NA	21.14075706	26.65737524	5.166289806
74	1961_1990	NA	22.37201531	26.25981128	5.474077225
75	1961_1990	NA	8.567722582	29.47879801	5.746303558
76	1961_1990	NA	81.2606224	29.03300318	5.551989079
77	1961_1990	NA	125.3314785	27.74737231	4.509092331
78	1961_1990	NA	319.0384289	26.42422642	3.962051868
79	1961_1990	NA	224.4999582	26.75737848	4.095198154
80	1961_1990	NA	254.677783	26.58835163	4.191273689
81	1961_1990	NA	498.0683119	25.96156714	4.01298666
82	1961_1990	NA	293.424449	25.82430451	3.884227991
83	1961_1990	NA	111.283643	26.0756148	4.020458221
84	1961_1990	NA	83.54850227	26.36722437	4.649784565
85	1961_1990	NA	16.57618827	26.65737524	5.166289806
86	1961_1990	NA	29.08620368	26.25981128	5.474077225
87	1961_1990	NA	14.73869677	29.47879801	5.746303558
88	1961_1990	NA	32.33466693	29.03300318	5.551989079
89	1961_1990	NA	411.7260789	27.74737231	4.509092331
90	1961_1990	NA	383.9881994	26.42422642	3.962051868
91	1961_1990	NA	234.4289662	26.75737848	4.095198154
92	1961_1990	NA	202.2692174	26.58835163	4.191273689
93	1961_1990	NA	313.3369716	25.96156714	4.01298666
94	1961_1990	NA	378.9064193	25.82430451	3.884227991
95	1961_1990	NA	222.6032236	26.0756148	4.020458221
96	1961_1990	NA	48.09755069	26.36722437	4.649784565
97	1961_1990	NA	19.95299894	26.65737524	5.166289806
98	1961_1990	NA	4.254971846	26.25981128	5.474077225
99	1961_1990	NA	42.25541122	29.47879801	5.746303558
100	1961_1990	NA	87.17952328	29.03300318	5.551989079
101	1961_1990	NA	190.7836239	27.74737231	4.509092331
102	1961_1990	NA	283.3324057	26.42422642	3.962051868
103	1961_1990	NA	128.2847236	26.75737848	4.095198154
104	1961_1990	NA	449.5849607	26.58835163	4.191273689
105	1961_1990	NA	441.3373026	25.96156714	4.01298666
106	1961_1990	NA	803.8166765	25.82430451	3.884227991
107	1961_1990	NA	142.4498232	26.0756148	4.020458221
108	1961_1990	NA	53.00089439	26.36722437	4.649784565
109	1961_1990	NA	15.79593609	26.65737524	5.166289806
110	1961_1990	NA	8.900654935	26.25981128	5.474077225
111	1961_1990	NA	67.84598197	29.47879801	5.746303558
112	1961_1990	NA	67.97650469	29.03300318	5.551989079
113	1961_1990	27.20933809	251.7737277	27.74737231	4.509092331
114	1961_1990	34.56937257	231.2790906	26.42422642	3.962051868
115	1961_1990	142.1356505	298.6017276	26.75737848	4.095198154
116	1961_1990	274.0256708	379.7620661	26.58835163	4.191273689
117	1961_1990	378.722402	414.8188022	25.96156714	4.01298666
118	1961_1990	312.4724624	342.4821124	25.82430451	3.884227991
119	1961_1990	142.3442865	161.9037065	26.0756148	4.020458221
120	1961_1990	31.74155296	31.89724559	26.36722437	4.649784565
121	1961_1990	12.16187119	15.97227412	26.65737524	5.166289806
122	1961_1990	6.409938442	13.20527831	26.25981128	5.474077225
123	1961_1990	4.111733172	4.504654619	29.47879801	5.746303558
124	1961_1990	1.896982283	78.56345213	29.03300318	5.551989079
125	1961_1990	34.05632071	240.2263816	27.74737231	4.509092331
126	1961_1990	83.90054128	245.1477839	26.42422642	3.962051868
127	1961_1990	38.99566456	120.7998593	26.75737848	4.095198154
128	1961_1990	122.1643751	293.8211315	26.58835163	4.191273689
129	1961_1990	448.4389082	557.0605256	25.96156714	4.01298666
130	1961_1990	485.6724014	475.4363061	25.82430451	3.884227991
131	1961_1990	75.19239757	78.14338976	26.0756148	4.020458221
132	1961_1990	20.41422558	6.343156614	26.36722437	4.649784565
133	1961_1990	11.00955877	30.32469283	26.65737524	5.166289806
134	1961_1990	5.87807725	5.327735475	26.25981128	5.474077225
135	1961_1990	2.623998336	5.254801112	29.47879801	5.746303558
136	1961_1990	2.277341675	48.6393671	29.03300318	5.551989079
137	1961_1990	22.88479625	265.5809978	27.74737231	4.509092331
138	1961_1990	30.13698199	198.8218497	26.42422642	3.962051868
139	1961_1990	17.27056324	120.531604	26.75737848	4.095198154
140	1961_1990	25.7520962	207.3195142	26.58835163	4.191273689
141	1961_1990	102.9602381	277.7719905	25.96156714	4.01298666
142	1961_1990	98.48900909	190.8364518	25.82430451	3.884227991
143	1961_1990	47.79368222	180.3635443	26.0756148	4.020458221
144	1961_1990	18.16416707	53.28092172	26.36722437	4.649784565
145	1961_1990	11.1976521	5.598151584	26.65737524	5.166289806
146	1961_1990	5.155233917	6.208132194	26.25981128	5.474077225
147	1961_1990	1.9932758	9.411698652	29.47879801	5.746303558
148	1961_1990	1.992312865	51.3045671	29.03300318	5.551989079
149	1961_1990	14.4831869	246.6655955	27.74737231	4.509092331
150	1961_1990	178.2778172	446.5792254	26.42422642	3.962051868
151	1961_1990	227.4067695	282.4799393	26.75737848	4.095198154
152	1961_1990	351.8500912	455.6252585	26.58835163	4.191273689
153	1961_1990	496.3930796	458.5149539	25.96156714	4.01298666
154	1961_1990	312.2028405	413.872023	25.82430451	3.884227991
155	1961_1990	140.1584236	138.0218499	26.0756148	4.020458221
156	1961_1990	33.23731225	13.73079532	26.36722437	4.649784565
157	1961_1990	11.25061354	14.87355648	26.65737524	5.166289806
158	1961_1990	5.819017227	7.180357011	26.25981128	5.474077225
159	1961_1990	3.23899293	14.43811294	29.47879801	5.746303558
160	1961_1990	1.89955011	29.82013461	29.03300318	5.551989079
161	1961_1990	20.56669032	298.6748624	27.74737231	4.509092331
162	1961_1990	71.80350773	325.1313485	26.42422642	3.962051868
163	1961_1990	42.138043	163.09865	26.75737848	4.095198154
164	1961_1990	87.32217091	260.4670461	26.58835163	4.191273689
165	1961_1990	228.7645081	517.5003648	25.96156714	4.01298666
166	1961_1990	250.4297321	274.7408945	25.82430451	3.884227991
167	1961_1990	52.31626773	69.71326833	26.0756148	4.020458221
168	1961_1990	17.09530903	20.7951439	26.36722437	4.649784565
169	1961_1990	7.498055183	6.960256315	26.65737524	5.166289806
170	1961_1990	3.335928404	4.591855198	26.25981128	5.474077225
171	1961_1990	2.589653648	7.089652903	29.47879801	5.746303558
172	1961_1990	1.836317367	15.19375784	29.03300318	5.551989079
173	1961_1990	7.330504464	225.9965388	27.74737231	4.509092331
174	1961_1990	20.24250215	235.8427936	26.42422642	3.962051868
175	1961_1990	59.40668036	216.2682585	26.75737848	4.095198154
176	1961_1990	97.69619247	293.2268731	26.58835163	4.191273689
177	1961_1990	321.2576409	445.864395	25.96156714	4.01298666
178	1961_1990	202.4410704	345.8949083	25.82430451	3.884227991
179	1961_1990	323.5109092	376.9394801	26.0756148	4.020458221
180	1961_1990	41.04671647	25.29256613	26.36722437	4.649784565
181	1961_1990	17.55751792	6.904100873	26.65737524	5.166289806
182	1961_1990	7.172262117	5.647997759	26.25981128	5.474077225
183	1961_1990	4.03630325	7.936640732	29.47879801	5.746303558
184	1961_1990	2.433016194	47.94203092	29.03300318	5.551989079
185	1961_1990	2.951717272	165.1438402	27.74737231	4.509092331
186	1961_1990	71.07970146	376.2759915	26.42422642	3.962051868
187	1961_1990	23.47635942	134.2029769	26.75737848	4.095198154
188	1961_1990	13.94073342	160.8503593	26.58835163	4.191273689
189	1961_1990	11.37162239	207.1379075	25.96156714	4.01298666
190	1961_1990	157.2079784	319.6950932	25.82430451	3.884227991
191	1961_1990	37.97110154	137.7834325	26.0756148	4.020458221
192	1961_1990	12.35895192	14.4894502	26.36722437	4.649784565
193	1961_1990	4.7440606	3.057374593	26.65737524	5.166289806
194	1961_1990	2.748216972	1.857604842	26.25981128	5.474077225
195	1961_1990	2.36593171	3.490267485	29.47879801	5.746303558
196	1961_1990	1.486771901	32.42401701	29.03300318	5.551989079
197	1961_1990	1.981078621	158.0205411	27.74737231	4.509092331
198	1961_1990	3.862332963	212.2516712	26.42422642	3.962051868
199	1961_1990	1.539091379	157.0491405	26.75737848	4.095198154
200	1961_1990	8.780042871	244.9258286	26.58835163	4.191273689
201	1961_1990	43.49610256	382.3246806	25.96156714	4.01298666
202	1961_1990	195.0320718	298.1623856	25.82430451	3.884227991
203	1961_1990	39.95218016	131.3151391	26.0756148	4.020458221
204	1961_1990	19.93596778	12.03602467	26.36722437	4.649784565
205	1961_1990	7.287814338	4.542771774	26.65737524	5.166289806
206	1961_1990	1.812885945	5.043524484	26.25981128	5.474077225
207	1961_1990	1.613237387	26.13078702	29.47879801	5.746303558
208	1961_1990	0.754620194	36.93454068	29.03300318	5.551989079
209	1961_1990	23.5360614	399.5910007	27.74737231	4.509092331
210	1961_1990	38.53345568	189.7501459	26.42422642	3.962051868
211	1961_1990	33.91457665	243.3188062	26.75737848	4.095198154
212	1961_1990	54.36731964	278.7592121	26.58835163	4.191273689
213	1961_1990	206.4083633	396.8099383	25.96156714	4.01298666
214	1961_1990	191.4178552	334.7830109	25.82430451	3.884227991
215	1961_1990	64.6418379	71.67339367	26.0756148	4.020458221
216	1961_1990	20.89890295	49.11789284	26.36722437	4.649784565
217	1961_1990	8.651009559	3.790009264	26.65737524	5.166289806
218	1961_1990	4.10017795	3.907587231	26.25981128	5.474077225
219	1961_1990	2.224059262	3.148766496	29.47879801	5.746303558
220	1961_1990	9.218178373	181.9482235	29.03300318	5.551989079
221	1961_1990	16.56344784	200.8284333	27.74737231	4.509092331
222	1961_1990	111.0007467	264.480534	26.42422642	3.962051868
223	1961_1990	69.84810738	186.2072423	26.75737848	4.095198154
224	1961_1990	78.40539125	286.4313948	26.58835163	4.191273689
225	1961_1990	410.9486323	510.4036251	25.96156714	4.01298666
226	1961_1990	466.2853067	348.5300858	25.82430451	3.884227991
227	1961_1990	127.1491695	94.70791557	26.0756148	4.020458221
