SEQ	CLASS	Qmm	P	T	E
1	1961_1990	NA	7.048	26.657	5.166289806
2	1961_1990	NA	4.692	26.260	5.474077225
3	1961_1990	NA	21.780	29.479	5.746303558
4	1961_1990	NA	52.862	29.033	5.551989079
5	1961_1990	NA	142.387	27.747	4.509092331
6	1961_1990	NA	275.409	26.424	3.962051868
7	1961_1990	NA	380.257	26.757	4.095198154
8	1961_1990	NA	171.700	26.588	4.191273689
9	1961_1990	NA	361.343	25.962	4.01298666
10	1961_1990	NA	395.286	25.824	3.884227991
11	1961_1990	NA	239.806	26.076	4.020458221
12	1961_1990	NA	70.593	26.367	4.649784565
13	1961_1990	NA	14.892	26.657	5.166289806
14	1961_1990	NA	3.544	26.260	5.474077225
15	1961_1990	NA	19.801	29.479	5.746303558
16	1961_1990	NA	112.596	29.033	5.551989079
17	1961_1990	NA	294.823	27.747	4.509092331
18	1961_1990	NA	387.339	26.424	3.962051868
19	1961_1990	NA	160.939	26.757	4.095198154
20	1961_1990	NA	268.547	26.588	4.191273689
21	1961_1990	NA	257.365	25.962	4.01298666
22	1961_1990	NA	388.490	25.824	3.884227991
23	1961_1990	NA	93.167	26.076	4.020458221
24	1961_1990	NA	42.455	26.367	4.649784565
25	1961_1990	NA	9.246	26.657	5.166289806
26	1961_1990	NA	40.488	26.260	5.474077225
27	1961_1990	NA	10.996	29.479	5.746303558
28	1961_1990	NA	90.852	29.033	5.551989079
29	1961_1990	NA	160.837	27.747	4.509092331
30	1961_1990	NA	307.973	26.424	3.962051868
31	1961_1990	NA	311.057	26.757	4.095198154
32	1961_1990	NA	194.723	26.588	4.191273689
33	1961_1990	NA	421.068	25.962	4.01298666
34	1961_1990	NA	276.798	25.824	3.884227991
35	1961_1990	NA	212.201	26.076	4.020458221
36	1961_1990	NA	28.821	26.367	4.649784565
37	1961_1990	NA	6.027	26.657	5.166289806
38	1961_1990	NA	6.020	26.260	5.474077225
39	1961_1990	NA	18.169	29.479	5.746303558
40	1961_1990	NA	84.732	29.033	5.551989079
41	1961_1990	NA	130.827	27.747	4.509092331
