SEQ	CLASS	Qmm	P	T	E
1	2071_2100	NA	5.677	28.796	5.577
2	2071_2100	NA	4.934	27.986	5.705
3	2071_2100	NA	23.686	30.961	6.171
4	2071_2100	NA	65.294	30.758	6.044
5	2071_2100	NA	151.766	29.399	4.695
6	2071_2100	NA	295.632	27.662	4.215
7	2071_2100	NA	350.793	28.307	4.037
8	2071_2100	NA	163.424	27.635	3.814
9	2071_2100	NA	356.661	28.146	3.912
10	2071_2100	NA	477.207	27.601	3.824
11	2071_2100	NA	244.309	28.292	4.038
12	2071_2100	NA	81.645	28.565	4.856
13	2071_2100	NA	13.520	29.083	5.577
14	2071_2100	NA	3.786	28.473	5.705
15	2071_2100	NA	21.708	31.546	6.171
16	2071_2100	NA	125.028	31.002	6.044
17	2071_2100	NA	304.202	29.322	4.695
18	2071_2100	NA	407.562	27.880	4.215
19	2071_2100	NA	131.475	28.639	4.037
20	2071_2100	NA	260.271	28.463	3.814
21	2071_2100	NA	252.683	27.951	3.912
22	2071_2100	NA	470.412	28.132	3.824
23	2071_2100	NA	97.671	28.578	4.038
24	2071_2100	NA	53.508	29.070	4.856
25	2071_2100	NA	7.875	29.119	5.577
26	2071_2100	NA	40.730	29.241	5.705
27	2071_2100	NA	12.903	32.540	6.171
28	2071_2100	NA	103.284	31.720	6.044
29	2071_2100	NA	170.217	30.148	4.695
30	2071_2100	NA	328.196	28.305	4.215
31	2071_2100	NA	281.593	28.899	4.037
32	2071_2100	NA	186.448	28.769	3.814
33	2071_2100	NA	416.386	28.773	3.912
34	2071_2100	NA	358.719	27.997	3.824
35	2071_2100	NA	216.704	28.473	4.038
36	2071_2100	NA	39.874	29.218	4.856
37	2071_2100	NA	4.655	29.037	5.577
38	2071_2100	NA	6.262	28.779	5.705
39	2071_2100	NA	20.075	32.606	6.171
40	2071_2100	NA	97.164	32.010	6.044
41	2071_2100	NA	140.207	30.681	4.695
42	2071_2100	NA	481.487	29.552	4.215
43	2071_2100	NA	387.317	29.987	4.037
44	2071_2100	NA	448.313	29.802	3.814
45	2071_2100	NA	285.305	29.037	3.912
46	2071_2100	NA	478.410	27.764	3.824
